________________________________________________________________________________________________________________________ Exportar ==>;;;;;;;;;
;;;;;;;;;
Año;Cod. Ubigeo;Departamento;Provincia;Distrito;Cod CIIU (Rev 3);Sector;Sub Sector;Actividad Económica;Cant. Contrib
2025;150101;LIMA;LIMA;LIMA;0111;A.- AGROPECUARIO;AGRICOLA;CULTIVOS DE CEREALES Y OTROS CULTIVOS N.C.P.;81
2025;150101;LIMA;LIMA;LIMA;0112;A.- AGROPECUARIO;AGRICOLA;CULTIVO DE HORTALIZAS Y LEGUMBRES, ESPECIALIDADES HORTICOLAS Y PRODUCTOS DE VIVERO;29
2025;150101;LIMA;LIMA;LIMA;0113;A.- AGROPECUARIO;AGRICOLA;CULTIVO DE FRUTAS, NUECES, PLANTAS CUYAS HOJAS SE UTILIZAN PARA PREPARAR BEBIDAS Y ESPECIAS;39
2025;150101;LIMA;LIMA;LIMA;0121;A.- AGROPECUARIO;PECUARIO;"CRIA DE GANADO VACUNO Y DE OVEJAS, CABRAS, CABALLOS, ASNOS, MULAS Y BURDEGANOS; CRIA DE GANADO LECHERO";7
2025;150101;LIMA;LIMA;LIMA;0122;A.- AGROPECUARIO;PECUARIO;"CRIA DE OTROS ANIMALES; ELABORACION DE PRODUCTOS ANIMALES N.C.P.";24
2025;150101;LIMA;LIMA;LIMA;0130;A.- AGROPECUARIO;AGRICOLA;CULTIVO DE PRODUCTOS AGRICOLAS EN COMBINACION CON LA CRIA DE ANIMALES (EXPLOTACION MIXTA);16
2025;150101;LIMA;LIMA;LIMA;0140;A.- AGROPECUARIO;AGRICOLA;ACTIVIDADES DE SERVICIOS AGRICOLAS Y GANADEROS, EXCEPTO LAS ACTIVIDADES VETERINARIAS;152
2025;150101;LIMA;LIMA;LIMA;0200;A.- AGROPECUARIO;SILVICULTURA;SILVICULTURA, EXTRACCION DE MADERA Y ACTIVIDADES DE SERVICIOS CONEXAS;19
2025;150101;LIMA;LIMA;LIMA;0500;B.- PESCA;PESCA;"PESCA, EXPLOTACION DE CRIADEROS DE PECES Y GRANJAS PISCICOLAS; ACTIVIDADES DE SERVICIOS RELACIONADAS CON LA PESCA";112
2025;150101;LIMA;LIMA;LIMA;1010;C.- MINERIA E HIDROCARBUROS;MINERIA METALICA;EXTRACCION Y AGLOMERACION DE CARBON DE PIEDRA;7
2025;150101;LIMA;LIMA;LIMA;1110;C.- MINERIA E HIDROCARBUROS;HIDROCARBUROS;EXTRACCION DE PETROLEO CRUDO Y GAS NATURAL;2
2025;150101;LIMA;LIMA;LIMA;1120;C.- MINERIA E HIDROCARBUROS;HIDROCARBUROS;ACTIVIDADES DE SERVICIOS RELACIONADAS CON LA EXTRACCION DE PETROLEO Y GAS, EXCEPTO LAS ACTIVIDADES DE PROSPECCION;12
2025;150101;LIMA;LIMA;LIMA;1200;C.- MINERIA E HIDROCARBUROS;MINERIA METALICA;EXTRACCION DE MINERALES DE URANIO Y TORIO;2
2025;150101;LIMA;LIMA;LIMA;1310;C.- MINERIA E HIDROCARBUROS;MINERIA METALICA;EXTRACCION DE MINERALES DE HIERRO;4
2025;150101;LIMA;LIMA;LIMA;1320;C.- MINERIA E HIDROCARBUROS;MINERIA METALICA;EXTRACCION DE MINERALES METALIFEROS NO FERROSOS, EXCEPTO LOS MINERALES DE URANIO Y TORIO;142
