Ubigeo;Departamento;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;;;;;;;;;;;;;
010000;Amazonas;34,809,754,790.00;43,253,868,510.00;38,740,190,360.00;43,573,221,020.00;49,286,258,790.00;49,201,581,480.00;69,802,524,130.00;74,004,141,950.00;69,270,507,430.00;83,930,652,300.00;98,655.00;;;;;;;;;;;;;
020000;Áncash;356,654,250,950.00;352,806,385,020.00;329,626,995,930.00;404,030,385,000.00;472,805,746,950.00;437,394,174,420.00;565,677,476,850.00;694,142,357,730.00;694,768,220,890.00;641,701,744,350.00;844,867.71;;;;;;;;;;;;;
030000;Apurímac;87,740,948,770.00;85,854,434,840.00;80,397,659,500.00;100,855,458,590.00;113,013,960,620.00;100,195,432,470.00;172,012,989,490.00;200,477,179,000.00;203,883,437,430.00;279,010,548,520.00;412,269.66;;;;;;;;;;;;;
040000;Arequipa;2,039,992,514,350.00;2,153,065,568,700.00;2,618,025,549,380.00;3,237,712,192,690.00;2,531,313,792,390.00;2,190,677,012,550.00;4,357,839,857,330.00;5,610,555,531,520.00;4,119,988,392,690.00;4,287,530,201,610.00;4,856,438.12;;;;;;;;;;;;;
050000;Ayacucho;114,587,529,180.00;122,901,156,120.00;122,129,653,820.00;137,160,710,320.00;143,378,497,470.00;121,434,190,160.00;186,639,348,940.00;180,934,733,170.00;185,441,978,910.00;222,867,958,040.00;273,656.79;;;;;;;;;;;;;
060000;Cajamarca;298,888,436,350.00;309,765,188,750.00;272,853,475,310.00;337,179,351,200.00;348,550,623,230.00;279,856,059,890.00;447,972,698,910.00;523,156,311,170.00;494,202,716,660.00;531,910,146,620.00;643,660.73;;;;;;;;;;;;;
070000;Callao;3,655,873,949,370.00;3,463,322,309,510.00;3,846,311,960,310.00;3,684,042,713,570.00;4,492,376,718,080.00;3,905,172,472,420.00;4,919,619,890,000.00;5,767,735,797,520.00;5,957,163,737,610.00;5,812,007,276,400.00;5,053,739.01;;;;;;;;;;;;;
080000;Cusco;727,218,786,720.00;645,038,156,790.00;850,935,317,110.00;847,824,419,880.00;841,471,866,270.00;612,815,441,520.00;1,135,465,822,570.00;1,562,808,932,090.00;1,114,847,471,020.00;1,157,764,194,950.00;1,640,728.49;;;;;;;;;;;;;
090000;Huancavelica;31,068,986,930.00;33,041,796,350.00;34,029,111,080.00;40,199,616,770.00;40,566,792,370.00;39,989,853,700.00;57,244,408,390.00;55,661,669,500.00;59,923,852,710.00;69,533,666,050.00;82,665.82;;;;;;;;;;;;;
100000;Huánuco;103,239,833,000.00;116,566,692,550.00;115,935,264,720.00;131,074,398,350.00;131,719,737,170.00;103,809,242,350.00;155,236,680,660.00;170,603,175,880.00;169,187,419,350.00;203,770,711,990.00;242,426.66;;;;;;;;;;;;;
110000;Ica;699,098,936,540.00;669,494,263,510.00;687,911,395,570.00;751,832,092,200.00;883,150,292,590.00;795,391,321,710.00;1,119,005,399,700.00;1,125,418,563,480.00;1,018,960,155,980.00;1,222,638,294,910.00;1,437,383.39;;;;;;;;;;;;;
120000;Junín;452,389,107,230.00;487,452,057,230.00;459,842,743,500.00;510,528,588,570.00;558,558,819,740.00;586,510,496,130.00;633,189,651,500.00;719,553,810,890.00;717,445,846,410.00;781,768,172,980.00;839,234.83;;;;;;;;;;;;;
130000;La Libertad;1,799,078,366,980.00;1,793,211,319,480.00;1,455,879,523,050.00;1,562,076,895,210.00;1,844,337,324,580.00;1,567,489,109,530.00;2,398,245,177,380.00;2,720,332,804,480.00;2,710,749,884,870.00;3,079,345,722,990.00;3,307,352.39;;;;;;;;;;;;;
140000;Lambayeque;535,171,688,650.00;553,727,483,820.00;503,208,162,450.00;559,899,771,650.00;601,047,510,100.00;528,126,817,880.00;753,596,979,860.00;779,097,945,490.00;715,990,706,360.00;807,220,495,520.00;845,135.76;;;;;;;;;;;;;
150000;Lima;63,646,596,731,910.00;66,695,208,788,830.00;67,049,891,217,150.00;75,338,349,232,020.00;81,808,539,904,210.00;69,162,131,980,800.00;97,516,538,569,939.90;111,055,563,692,290.00;106,614,532,634,900.00;113,736,724,732,180.00;134,355,969.33;;;;;;;;;;;;;
160000;Loreto;310,684,783,060.00;319,705,514,310.00;290,525,793,950.00;316,449,428,920.00;301,289,070,120.00;250,354,489,580.00;370,557,264,410.00;414,837,428,320.00;371,385,439,920.00;392,940,935,170.00;448,096.60;;;;;;;;;;;;;
170000;Madre de Dios;55,441,899,040.00;73,526,807,950.00;79,260,048,610.00;80,931,130,530.00;85,009,796,320.00;74,581,335,610.00;114,163,163,790.00;123,679,793,110.00;114,083,343,950.00;169,857,587,330.00;187,403.61;;;;;;;;;;;;;
