Ubigeo;Departamento;Total;0 - 4;5-Set;Oct-14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 -59;60 - 64;65 - 69;70 - 74;75 - 79;80 y más;Year
10000;Amazonas;408,751;48,238;51,793;44,734;38,099;33,938;36,173;31,093;27,454;20,980;18,683;15,618;12,485;9,911;6,907;5,327;4,019;3,299;2015
20000;Áncash;1,116,151;110,463;117,742;108,960;102,891;99,851;92,954;79,049;70,073;61,887;57,491;50,386;41,710;34,919;27,370;23,456;18,646;18,303;2015
30000;Apurímac;421,546;46,485;49,729;43,502;37,840;36,421;42,136;33,271;26,251;20,678;17,935;16,863;13,347;11,112;8,704;7,460;5,487;4,325;2015
40000;Arequipa;1,327,106;111,158;115,277;112,887;115,514;118,462;99,620;96,307;92,046;89,787;82,301;71,068;59,919;50,411;37,739;28,513;21,140;24,957;2015
50000;Ayacucho;644,322;71,730;76,168;68,529;63,759;62,552;57,181;46,258;37,556;31,890;27,407;25,302;19,922;16,547;12,759;10,910;8,089;7,763;2015
60000;Cajamarca;1,413,007;152,820;170,239;152,086;137,974;128,015;120,105;105,916;94,514;74,758;64,314;53,995;44,373;36,244;26,722;21,022;15,423;14,487;2015
70000;Callao;1,003,208;83,208;86,228;82,413;80,674;80,847;67,899;71,812;75,129;74,289;65,603;56,178;47,681;40,889;30,470;23,301;17,095;19,492;2015
80000;Cusco;1,264,393;126,561;137,955;125,187;120,977;120,244;110,301;95,289;81,645;67,396;61,787;56,358;46,548;36,481;27,394;20,386;15,118;14,766;2015
90000;Huancavelica;393,473;48,204;53,734;48,049;39,803;35,168;33,301;28,129;21,997;16,269;14,043;13,144;10,807;9,136;7,214;6,000;4,141;4,334;2015
100000;Huánuco;752,150;83,064;90,220;81,962;77,390;73,451;62,306;57,486;50,258;38,321;32,181;27,541;22,126;17,771;13,183;10,135;7,562;7,193;2015
110000;Ica;847,268;84,335;86,516;82,464;79,706;78,185;65,367;58,715;52,003;49,488;44,493;40,843;33,942;27,932;21,309;16,139;12,398;13,433;2015
120000;Junín;1,293,785;132,145;134,879;127,161;120,795;118,069;111,672;95,816;80,973;75,271;65,480;55,905;47,928;39,919;29,907;23,178;17,574;17,113;2015
130000;La Libertad;1,821,292;180,046;183,311;171,393;164,987;164,079;150,575;132,134;115,660;107,835;97,166;83,946;71,792;59,738;43,933;36,189;29,613;28,895;2015
140000;Lambayeque;1,208,672;115,262;121,454;114,527;112,235;106,235;94,329;82,497;76,346;74,069;67,776;58,836;49,700;42,386;30,924;23,947;18,116;20,033;2015
150000;Lima;9,514,151;686,480;748,661;745,507;774,786;820,619;728,462;727,568;706,880;700,465;622,455;537,792;445,762;384,502;291,719;232,810;172,733;186,950;2015
160000;Loreto;958,509;125,831;126,573;111,276;96,649;84,224;78,365;67,711;57,213;46,588;38,440;33,409;27,784;22,209;16,189;11,247;7,681;7,120;2015
170000;Madre de Dios;143,639;13,162;13,901;12,951;12,534;13,229;13,041;13,004;10,596;9,197;9,094;7,779;5,710;3,942;2,268;1,408;855;968;2015
180000;Moquegua;176,719;13,085;13,793;13,564;12,725;12,206;12,680;13,596;14,838;14,514;13,248;10,975;8,850;7,273;5,574;4,152;2,784;2,862;2015
190000;Pasco;271,027;27,384;30,240;27,348;24,691;21,920;21,425;22,849;20,022;17,277;14,443;12,037;9,108;7,294;5,129;3,805;2,955;3,100;2015
200000;Piura;1,863,545;179,880;194,963;180,684;180,488;179,494;147,741;135,789;126,924;107,317;94,151;81,630;73,424;62,281;40,480;31,538;23,121;23,640;2015
210000;Puno;1,233,379;117,687;121,002;117,710;114,630;114,355;104,067;91,747;80,860;76,378;63,846;54,092;45,326;37,926;30,523;24,284;18,196;20,750;2015
220000;San Martín;817,542;89,672;92,869;85,238;76,870;68,510;63,364;60,978;57,136;49,983;45,369;39,761;29,600;21,014;14,093;9,867;6,943;6,275;2015
230000;Tacna;330,422;24,464;26,542;26,681;26,888;26,711;24,953;25,331;27,567;25,078;23,759;20,428;15,825;12,603;8,823;6,485;4,400;3,884;2015
240000;Tumbes;226,099;20,907;21,644;20,964;18,954;17,426;17,427;17,435;18,926;16,600;14,137;11,773;9,556;7,618;4,745;3,522;2,265;2,200;2015
250000;Ucayali;514,343;61,540;61,616;55,714;50,595;44,912;37,321;37,256;34,790;30,130;26,252;22,217;17,095;12,901;8,658;5,711;3,918;3,717;2015
;Amazonas;411,525;47,520;51,064;45,356;37,924;33,576;35,761;31,909;28,168;21,850;18,868;16,108;12,929;10,271;7,246;5,418;4,066;3,491;2016
;Áncash;1,126,698;109,497;115,184;108,187;99,444;99,177;94,320;82,137;72,622;63,930;58,357;52,451;43,670;36,195;28,661;24,024;19,170;19,672;2016
;Apurímac;422,534;45,587;48,887;43,796;37,078;35,113;41,489;34,992;27,463;21,471;18,098;16,973;13,773;11,306;8,860;7,462;5,620;4,566;2016
;Arequipa;1,357,444;112,040;114,083;112,563;113,778;120,480;103,604;99,020;95,370;92,679;84,715;74,270;62,718;52,642;40,197;30,275;22,102;26,908;2016
;Ayacucho;647,794;70,797;75,058;68,748;62,427;61,615;58,188;48,184;38,856;32,683;27,822;25,672;20,672;16,954;13,059;10,897;8,200;7,962;2016
;Cajamarca;1,418,297;149,187;166,922;153,342;136,237;126,576;120,535;107,750;96,471;77,564;65,383;55,370;45,579;37,263;27,719;21,402;15,718;15,279;2016
;Prov. Const. del Callao;1,025,749;84,117;85,052;81,907;78,797;82,272;70,338;72,598;76,560;76,667;68,010;59,024;50,051;42,807;32,915;25,085;18,171;21,378;2016
;Cusco;1,280,145;125,815;136,106;126,256;119,012;119,511;112,462;98,941;84,994;70,020;62,494;57,534;48,339;37,994;28,570;21,052;15,469;15,576;2016
;Huancavelica;386,752;45,987;51,580;47,553;38,956;34,044;32,711;28,384;22,533;16,597;13,855;12,944;10,870;9,125;7,201;5,922;4,127;4,363;2016
;Huánuco;752,248;81,280;88,254;81,932;75,997;72,832;62,920;57,600;51,310;39,749;32,561;27,933;22,652;18,190;13,621;10,289;7,629;7,499;2016
;Ica;870,166;85,855;86,668;83,505;80,003;79,804;68,334;60,956;54,038;50,925;45,839;42,238;35,820;29,287;22,583;17,041;12,833;14,437;2016
;Junín;1,304,632;131,586;133,783;127,361;119,264;117,033;112,618;98,799;83,124;76,214;66,768;57,199;49,067;41,071;31,152;23,780;17,878;17,935;2016
;La Libertad;1,855,780;181,028;180,403;170,057;160,401;165,170;154,035;138,218;121,762;112,176;99,876;88,115;75,315;62,668;46,900;37,791;30,698;31,167;2016
;Lambayeque;1,226,321;114,877;119,639;113,988;109,449;106,915;96,263;85,487;78,556;75,720;69,262;61,330;51,774;44,196;33,087;25,224;18,839;21,715;2016
;Lima;9,711,755;688,620;731,390;736,657;757,054;831,063;750,711;744,918;729,758;722,185;643,793;563,542;469,521;400,690;311,385;246,117;181,423;202,928;2016
;Loreto;970,219;125,105;125,497;112,120;96,127;84,508;78,776;69,724;59,375;48,553;39,435;34,220;28,816;23,115;17,178;11,951;8,045;7,674;2016
;Madre de Dios;149,044;13,516;13,906;13,107;12,418;13,592;13,499;13,587;11,361;9,680;9,365;8,278;6,268;4,316;2,596;1,542;920;1,093;2016
;Moquegua;179,508;13,071;13,660;13,568;12,705;12,329;12,688;13,563;14,892;14,844;13,598;11,505;9,257;7,579;5,875;4,353;2,919;3,102;2016
;Pasco;270,648;26,668;29,484;27,320;24,295;21,743;21,035;22,565;20,394;17,637;14,723;12,364;9,406;7,490;5,344;3,915;2,984;3,281;2016
;Piura;1,895,889;179,362;192,404;181,077;176,974;180,004;153,485;139,565;131,376;112,776;96,887;84,854;76,076;65,170;43,904;32,636;24,078;25,261;2016
;Puno;1,231,778;115,903;118,931;116,282;111,978;112,566;104,747;93,004;81,493;76,695;65,221;54,994;46,114;38,515;31,045;24,560;18,373;21,357;2016
;San Martín;831,960;89,768;92,550;86,353;77,206;69,330;64,151;61,840;58,415;51,514;46,176;41,104;31,570;22,443;15,096;10,427;7,220;6,797;2016
;Tacna;337,630;24,544;26,034;26,471;26,623;27,192;25,525;25,839;28,139;26,069;24,309;21,419;16,844;13,274;9,469;6,897;4,687;4,295;2016
;Tumbes;230,598;21,017;21,504;21,048;19,035;17,729;17,539;17,563;19,078;17,274;14,674;12,298;10,070;8,048;5,196;3,753;2,394;2,378;2016
;Ucayali;527,717;62,388;61,398;55,955;50,307;46,245;38,716;38,092;36,335;31,725;27,163;23,311;18,290;13,770;9,477;6,163;4,171;4,211;2016
;Amazonas;415,469;47,123;49,760;46,371;37,831;33,588;34,998;33,091;28,837;23,101;19,002;16,685;13,450;10,620;7,691;5,549;4,071;3,701;2017
;Áncash;1,140,486;109,079;111,023;107,787;95,358;98,633;95,812;86,357;75,924;66,796;59,220;54,955;46,036;37,461;30,416;24,677;19,618;21,334;2017
;Apurímac;424,717;44,947;47,515;44,515;36,519;34,162;40,085;37,205;28,895;22,529;18,383;16,966;14,344;11,485;9,122;7,440;5,725;4,880;2017
;Arequipa;1,392,144;113,303;111,771;112,234;111,433;122,435;109,290;102,466;99,912;96,146;87,198;77,965;65,854;54,709;42,992;32,258;23,063;29,115;2017
;Ayacucho;653,101;70,301;73,295;69,639;61,352;60,351;59,190;50,574;40,473;33,650;28,461;25,925;21,625;17,366;13,528;10,847;8,308;8,216;2017
;Cajamarca;1,427,598;146,535;161,687;156,214;134,924;125,248;121,059;110,397;98,331;81,403;66,508;56,994;47,000;38,227;29,036;21,865;15,965;16,205;2017
;Prov. Const.del Callao;1,051,572;85,374;82,757;81,065;76,229;83,875;74,409;73,975;78,563;79,393;70,692;62,380;52,721;44,496;35,746;27,059;19,288;23,550;2017
;Cusco;1,299,643;126,038;132,646;128,495;117,213;118,530;114,943;103,430;88,863;73,587;63,270;58,683;50,334;39,571;29,938;21,845;15,724;16,533;2017
;Huancavelica;381,277;44,201;48,903;47,385;38,422;33,052;32,023;28,727;23,183;17,171;13,759;12,677;11,031;9,101;7,264;5,827;4,145;4,406;2017
;Huánuco;754,476;80,158;85,497;82,715;74,787;71,907;64,197;57,719;52,322;41,721;33,033;28,332;23,294;18,604;14,179;10,492;7,682;7,837;2017
;Ica;896,000;88,034;86,268;84,793;80,210;81,216;72,076;63,517;56,704;52,523;47,463;43,655;38,014;30,641;24,014;18,098;13,261;15,513;2017
;Junín;1,319,212;131,563;132,034;128,315;118,060;116,102;113,442;102,501;86,264;77,177;68,282;58,767;50,345;42,160;32,687;24,518;18,126;18,869;2017
;La Libertad;1,895,988;182,682;175,042;168,195;154,149;166,990;158,237;146,070;130,173;117,664;102,762;93,309;79,373;65,539;50,663;39,693;31,689;33,758;2017
;Lambayeque;1,247,616;114,934;116,445;113,474;105,695;108,067;98,628;89,642;81,806;77,801;70,877;64,399;54,253;45,905;35,782;26,677;19,585;23,646;2017
;Lima;9,939,885;694,396;703,742;725,401;733,714;843,910;785,258;768,415;762,347;746,536;667,097;592,359;497,062;414,484;334,371;259,922;189,975;220,896;2017
;Loreto;984,759;124,938;123,366;113,305;95,420;85,338;79,099;72,321;62,030;51,042;40,700;35,151;30,050;24,071;18,347;12,817;8,455;8,309;2017
;Madre de Dios;155,027;14,006;13,759;13,307;12,186;14,022;14,070;14,166;12,294;10,308;9,587;8,807;6,910;4,696;2,995;1,685;985;1,244;2017
;Moquegua;182,836;13,097;13,442;13,584;12,659;12,552;12,769;13,627;14,969;15,252;13,933;12,114;9,719;7,887;6,224;4,567;3,063;3,378;2017
;Pasco;271,036;26,144;28,417;27,508;23,852;21,743;20,816;22,136;20,927;18,089;15,071;12,710;9,781;7,662;5,617;4,076;3,006;3,481;2017
;Piura;1,933,993;179,881;187,483;182,732;173,032;179,272;161,456;144,378;136,301;119,787;99,838;88,996;79,059;67,584;48,353;33,699;25,071;27,071;2017
;Puno;1,233,676;114,607;116,671;115,606;109,820;110,503;105,777;94,738;82,764;76,712;66,996;56,030;47,069;39,157;31,715;24,921;18,572;22,018;2017
;San Martín;848,910;90,347;91,605;87,882;77,518;70,466;65,306;62,972;59,875;53,555;47,029;42,346;33,820;23,975;16,266;11,085;7,465;7,398;2017
;Tacna;345,911;24,737;25,209;26,166;26,205;27,902;26,384;26,722;28,719;27,396;24,783;22,464;18,028;13,904;10,222;7,324;4,978;4,768;2017
;Tumbes;235,813;21,208;21,225;21,120;19,088;18,258;17,728;17,895;19,116;18,082;15,259;12,875;10,651;8,437;5,757;4,005;2,530;2,579;2017
;Ucayali;542,847;63,610;60,506;56,043;49,553;47,677;40,784;39,121;38,259;33,775;28,159;24,506;19,718;14,698;10,460;6,704;4,443;4,831;2017
;Amazonas;419,833;46,898;48,200;47,447;37,850;33,798;34,086;34,318;29,469;24,500;19,168;17,270;13,999;10,962;8,180;5,713;4,062;3,913;2018
;Áncash;1,155,451;108,921;106,354;107,494;91,378;97,953;97,155;90,865;79,531;70,020;60,167;57,505;48,535;38,749;32,339;25,392;20,008;23,085;2018
;Apurímac;427,323;44,440;45,904;45,332;36,164;33,452;38,287;39,404;30,429;23,730;18,777;16,911;14,945;11,672;9,433;7,417;5,800;5,226;2018
;Arequipa;1,428,708;114,761;109,228;111,934;109,113;124,076;115,572;106,297;104,866;99,819;89,732;81,772;69,128;56,720;45,882;34,349;24,056;31,403;2018
;Ayacucho;659,061;70,014;71,255;70,726;60,549;58,933;60,005;53,051;42,256;34,729;29,234;26,118;22,623;17,791;14,077;10,803;8,402;8,495;2018
;Cajamarca;1,438,325;144,476;155,572;159,411;134,080;123,990;121,464;113,242;100,086;85,595;67,790;58,698;48,512;39,168;30,481;22,400;16,188;17,172;2018
;Prov. Const. del Callao;1,078,789;86,778;80,229;80,136;73,667;85,322;79,141;75,720;80,699;82,100;73,459;65,880;55,525;46,090;38,659;29,114;20,442;25,828;2018
;Cusco;1,320,530;126,734;128,564;131,027;115,799;117,369;117,296;108,085;92,923;77,604;64,240;59,769;52,334;41,175;31,397;22,722;15,951;17,541;2018
;Huancavelica;376,346;42,689;46,020;47,232;38,073;32,175;31,266;29,032;23,841;17,868;13,751;12,388;11,216;9,072;7,360;5,729;4,175;4,459;2018
;Huánuco;757,467;79,396;82,411;83,700;73,788;70,793;65,664;57,863;53,214;43,877;33,625;28,734;23,968;19,014;14,780;10,731;7,731;8,178;2018
;Ica;923,175;90,480;85,762;86,151;80,497;82,427;76,041;66,267;59,663;54,227;49,217;45,061;40,283;32,025;25,514;19,244;13,718;16,598;2018
;Junín;1,335,139;131,758;130,045;129,506;117,210;115,210;114,028;106,287;89,867;78,226;69,854;60,432;51,666;43,194;34,323;25,349;18,363;19,821;2018
;La Libertad;1,938,501;184,622;169,085;166,197;147,773;168,690;162,509;154,348;139,431;123,675;105,841;98,747;83,627;68,377;54,721;41,778;32,627;36,453;2018
;Lambayeque;1,270,295;115,193;112,825;112,971;101,894;109,159;101,040;94,155;85,513;80,061;72,542;67,580;56,900;47,550;38,644;28,241;20,368;25,659;2018
;Lima;10,180,641;702,532;673,871;713,299;710,249;855,783;824,361;794,562;798,044;771,305;691,049;621,763;526,042;427,573;358,205;274,013;198,525;239,465;2018
;Loreto;1,000,350;125,050;120,805;114,514;94,823;86,367;79,355;74,989;64,830;53,737;42,158;36,143;31,331;25,040;19,568;13,758;8,901;8,981;2018
;Madre de Dios;161,324;14,571;13,585;13,524;11,945;14,440;14,685;14,727;13,288;11,020;9,809;9,326;7,577;5,089;3,431;1,848;1,059;1,400;2018
;Moquegua;186,371;13,138;13,203;13,603;12,614;12,811;12,896;13,736;15,039;15,661;14,252;12,740;10,209;8,204;6,592;4,791;3,214;3,668;2018
;Pasco;271,704;25,722;27,222;27,734;23,427;21,813;20,702;21,632;21,465;18,571;15,454;13,055;10,191;7,827;5,913;4,262;3,029;3,685;2018
;Piura;1,974,368;180,885;181,747;184,814;169,387;177,669;169,940;149,739;141,296;127,311;103,103;93,474;82,172;69,715;53,175;34,914;26,069;28,958;2018
;Puno;1,236,836;113,523;114,353;115,225;108,036;108,273;106,738;96,589;84,351;76,603;68,841;57,140;48,093;39,827;32,444;25,330;18,783;22,687;2018
;San Martín;866,861;91,150;90,427;89,482;77,907;71,712;66,633;64,203;61,351;55,772;47,954;43,482;36,116;25,579;17,538;11,814;7,712;8,029;2018
;Tacna;354,644;24,986;24,315;25,821;25,761;28,659;27,368;27,766;29,270;28,816;25,253;23,484;19,271;14,541;11,021;7,767;5,272;5,273;2018
;Tumbes;241,321;21,434;20,913;21,175;19,144;18,872;17,968;18,315;19,087;18,893;15,870;13,474;11,257;8,810;6,364;4,278;2,679;2,788;2018
;Ucayali;558,767;65,018;59,443;56,085;48,707;49,010;43,133;40,256;40,245;35,977;29,239;25,720;21,221;15,666;11,508;7,305;4,734;5,500;2018
;Amazonas;423,863;46,696;46,709;48,249;38,010;34,034;33,223;35,270;30,072;25,808;19,450;17,784;14,526;11,305;8,651;5,903;4,061;4,112;2019
;Áncash;1,169,522;108,738;102,264;107,051;88,248;96,870;98,074;94,818;82,990;73,135;61,280;59,701;50,889;40,086;34,139;26,148;20,362;24,729;2019
;Apurímac;429,587;43,940;44,352;45,922;36,005;32,869;36,461;41,087;31,951;24,955;19,268;16,878;15,465;11,884;9,733;7,415;5,848;5,554;2019
;Arequipa;1,464,638;116,227;107,340;111,699;107,457;125,135;121,338;110,171;109,431;103,330;92,296;85,309;72,340;58,781;48,626;36,433;25,115;33,610;2019
;Ayacucho;664,494;69,702;69,315;71,526;60,031;57,534;60,455;55,237;44,063;35,858;30,044;26,312;23,510;18,244;14,617;10,807;8,473;8,766;2019
;Cajamarca;1,447,891;142,619;149,618;161,641;133,750;122,754;121,531;115,673;101,730;89,459;69,333;60,310;49,990;40,114;31,867;22,997;16,419;18,086;2019
;Prov. Const. del Callao;1,105,512;88,134;78,354;79,365;71,805;86,289;83,555;77,611;82,530;84,420;76,119;69,162;58,296;47,723;41,342;31,138;21,627;28,042;2019
;Cusco;1,340,457;127,400;124,862;132,978;114,985;116,089;119,069;112,240;96,849;81,579;65,532;60,757;54,140;42,768;32,851;23,637;16,216;18,505;2019
