CUADRO Nº 01;;;;;;;;;;
PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO DE CADA AÑO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018-2026;;;;;;;;;;
(Información de carácter referencial);;;;;;;;;;
UBIGEO;Departamento, provincia y distrito;Población proyectada  1/;;;;;;;;
;;2018;2019;2020;2021;2022;2023;2024;2025;2026
;;;;;;;;;;
000000;PERÚ;31,562,130;32,131,400;32,625,948;33,035,304;33,396,698;33,725,844;34,038,457;34,350,244;34,660,114
010000;AMAZONAS;419,833;423,863;426,806;428,512;429,483;429,943;430,123;430,251;430,305
010100;CHACHAPOYAS;61,078;62,207;63,188;63,661;64,058;64,403;64,718;65,024;65,320
010101;CHACHAPOYAS;36,602;37,870;39,051;39,691;40,274;40,817;41,335;41,843;42,342
010102;ASUNCION;283;281;278;277;276;273;271;269;267
010103;BALSAS;1,222;1,202;1,180;1,169;1,158;1,147;1,137;1,125;1,113
010104;CHETO;687;696;702;705;707;710;713;716;719
010105;CHILIQUIN;619;604;589;581;575;568;561;554;547
010106;CHUQUIBAMBA;1,970;1,955;1,933;1,922;1,910;1,898;1,884;1,872;1,860
010107;GRANADA;523;532;539;541;543;546;549;551;553
010108;HUANCAS;1,334;1,395;1,456;1,481;1,500;1,515;1,526;1,538;1,550
010109;LA JALCA;4,187;4,080;3,966;3,834;3,697;3,558;3,418;3,279;3,140
010110;LEIMEBAMBA;3,862;3,845;3,815;3,799;3,781;3,759;3,738;3,716;3,693
010111;LEVANTO;830;817;803;796;789;781;774;768;762
010112;MAGDALENA;913;913;911;910;906;903;900;895;890
010113;MARISCAL CASTILLA;1,474;1,507;1,534;1,561;1,586;1,609;1,631;1,653;1,675
010114;MOLINOPAMPA;2,320;2,296;2,266;2,251;2,235;2,218;2,201;2,185;2,169
010115;MONTEVIDEO;519;503;487;479;472;465;459;452;445
010116;OLLEROS;422;429;435;438;441;444;446;448;450
010117;QUINJALCA;819;807;792;785;778;770;763;757;751
010118;SAN FRANCISCO DE DAGUAS;321;323;323;325;326;329;332;335;338
010119;SAN ISIDRO DE MAINO;608;599;590;585;581;576;570;565;560
010120;SOLOCO;1,293;1,279;1,261;1,252;1,243;1,234;1,224;1,214;1,204
010121;SONCHE;270;274;277;279;280;283;286;289;292
010200;BAGUA;82,816;83,850;84,672;85,375;85,835;86,129;86,333;86,525;86,699
010201;BAGUA ;29,096;29,540;29,905;30,240;30,479;30,652;30,790;30,921;31,045
010202;ARAMANGO;10,422;10,300;10,149;10,049;9,919;9,770;9,613;9,458;9,304
010203;COPALLIN;4,903;4,787;4,660;4,563;4,452;4,334;4,213;4,093;3,975
010204;EL PARCO;1,294;1,292;1,287;1,281;1,273;1,262;1,251;1,240;1,227
010205;IMAZA;30,392;31,300;32,136;32,789;33,338;33,812;34,240;34,658;35,062
010206;LA PECA ;6,709;6,631;6,535;6,453;6,374;6,299;6,226;6,155;6,086
010300;BONGARA;27,042;26,972;26,830;26,655;26,449;26,220;25,980;25,738;25,493
010301;JUMBILLA;1,373;1,354;1,332;1,309;1,283;1,258;1,232;1,207;1,182
010302;CHISQUILLA;323;321;319;317;313;310;308;304;300
010303;CHURUJA;299;301;301;300;298;295;292;289;286
010304;COROSHA;810;819;825;831;835;842;849;856;863
010305;CUISPES;702;694;684;673;662;650;638;626;614
010306;FLORIDA;6,400;6,409;6,397;6,380;6,353;6,321;6,283;6,245;6,206
